StateName,st_pcode,StateNameMM,District,dt_pcode,DistrictMM,TownshipName,ts_pcode,TownshipNameMM,Voters reported by UEC
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Hinthada,MMR017008,ဟင်္သာတ,257948
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Ingapu,MMR017013,အင်္ဂပူ,157517
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Kyangin,MMR017012,ကြံခင်း,75993
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Lemyethna,MMR017010,လေးမျက်နှာ,75728
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Myanaung,MMR017011,မြန်အောင်,165667
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,HINTHADA,MMR017D002,ဟသာတခရိုင်,Zalun,MMR017009,ဇလွန်,123993
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,LABUTTA,MMR017D004,လပ္ပတ္တာခရိုင်,Labutta,MMR017016,လပွတ္တာ,212052
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,LABUTTA,MMR017D004,လပ္ပတ္တာခရိုင်,Mawlamyinegyun,MMR017018,မော်လမြိုင်ကျွန်း,214747
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MAUBIN,MMR017D005,မအူပင်ခရိုင်,Danubyu,MMR017022,ဓနုဲဖူ,139973
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MAUBIN,MMR017D005,မအူပင်ခရိုင်,Maubin,MMR017019,မအူပင်,222759
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MAUBIN,MMR017D005,မအူပင်ခရိုင်,Nyaungdon,MMR017021,ညောင်တုန်း,151805
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MAUBIN,MMR017D005,မအူပင်ခရိုင်,Pantanaw,MMR017020,ပန်းတနော်,179808
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MYAUNGMYA,MMR017D003,မြောင်းမြခရိုင်,Einme,MMR017015,အိမ္မဲ,139080
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MYAUNGMYA,MMR017D003,မြောင်းမြခရိုင်,Myaungmya,MMR017014,မြောင်းမြ,209390
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,MYAUNGMYA,MMR017D003,မြောင်းမြခရိုင်,Wakema,MMR017017,ဝါးခယ်မ,210347
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Kangyidaunt,MMR017002,ကန်ကြီးထောင့်,123585
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Kyaunggon,MMR017007,ကျောင်းကုန်း,116972
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Kyonpyaw,MMR017005,ကျုံပျော်,176258
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Ngapudaw,MMR017004,ငပုတော,221453
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Pathein,MMR017001,ပုသိမ်,244172
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Thabaung,MMR017003,သာပေါင်း,106030
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PATHEIN,MMR017D001,ပုသိမ်ခရိုင်,Yegyi,MMR017006,ရေကြည်,146400
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PHYAPON,MMR017D006,ဖျာပုံခရိုင်,Bogale,MMR017024,ဘိုကလေး,216113
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PHYAPON,MMR017D006,ဖျာပုံခရိုင်,Dedaye,MMR017026,ဒေးဒရဲ,164792
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PHYAPON,MMR017D006,ဖျာပုံခရိုင်,Kyaiklat,MMR017025,ကျိုက်လတ်,147060
Ayeyarwady Region,MMR017,ဧရာဝတီတိုင်းဒေသကြီး,PHYAPON,MMR017D006,ဖျာပုံခရိုင်,Pyapon,MMR017023,ဖျာပုံ,203976
Bago Region (East),MMR007,ပဲခူးတိုင်းဒေသကြီး,BAGO,MMR007D001,ပဲခူးခရိုင်,Bago,MMR007001,ပဲခူး,336740
Bago Region (East),MMR007,ပဲခူးတိုင်းဒေသကြီး,BAGO,MMR007D001,ပဲခူးခရိုင်,Daik-U,MMR007007,ဒိုက်ဦး,143401
Bago Region (East),MMR007,ပဲခူးတိုင်းဒေသကြီး,BAGO,MMR007D001,ပဲခူးခရိုင်,Kawa,MMR007003,ကဝ,144982
Bago Region (East),MMR007,ပဲခူးတိုင်းဒေသကြီး,BAGO,MMR007D001,ပဲခူးခရိုင်,Kyauktaga,MMR007006,ကျောက်တံခါး,177425
